Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
94,Mike Black,22,DET,P,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,BlacMi20
95,Maury Buford,23,SDG,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,BufoMa20
96,Wes Chandler,27,SDG,WR,16,14,,0,0,,0,0,,0,,0,,,,,,0.0,,1,3,100.00,-3.00,-3.00,0,0,PB,ChanWe00
97,Dwight Clark,26,SFO,WR,16,13,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ClarDw00
98,Tony Dorsett,29,DAL,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PBAP-2,DorsTo00
99,Hokie Gajan,24,NOR,FB,16,12,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,GajaHo00
100,Pete Holohan,24,SDG,TE,16,3,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,HoloPe00
101,Dave Jennings,31,NYG,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,JennDa20
102,Billy Johnson,31,ATL,WR,16,1,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PBAP-2,JohnBi01
103,James Jones,22,DET,FB,14,14,,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,JoneJa00
104,Steve Kreider,25,CIN,WR,16,2,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,KreiSt00
105,Terry LeCount,27,MIN,WR,11,10,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,LeCoTe00
106,Henry Marshall,29,KAN,WR,13,9,,0,0,,0,0,,0,,0,,,,,,0.0,,1,9,100.00,-9.00,-9.00,0,0,,MarsHe00
107,John Mistler,25,NYG,WR,16,8,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,MistJo00
108,Dan Pastorini,34,PHI,QB,3,0,,0,5,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,PastDa00
109,Drew Pearson,32,DAL,WR,14,13,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,PearDr00
110,Greg Pruitt,32,RAI,RB,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,PruiGr00
111,John Riggins,34,WAS,RB,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,AP-1AP MVP-4AP OPoY-4,RiggJo00
112,Sherman Smith,29,SDG,RB,13,2,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,SmitSh00
113,Rohn Stark,24,BAL,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,AP-1,StarRo20
114,Rick Upchurch,31,DEN,WR,12,11,,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,UpchRi00
115,Joe Washington,30,WAS,RB,15,1,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,WashJo00
116,Gerald Willhite,24,DEN,RB,8,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,WillGe00
,League Average,,,,,,,,,56.9,,,4.4,,4.4,,43.1,,7.2,6.09,12.6,74.3,75.9,,,7.96,6.01,5.00,,,,-9999
